Block,Name,Reward,ThingsToDeliver,DayOfWeek
A,Gertvagt,Chance for Vaskepolot + 80k,Aflever 10 stacks brød,Monday
A,Donvito,50k + 3-9 Diamonds,Aflever 50 Respekt,Monday
A,Gertvagt,Chance for Vaskepolot + Leg key + 2 Dia polet,Aflever 2 stacks emeralder,Tuesday
A,Donvito,Lille Chance for Rare Dør,Aflever 50 Respekt,Tuesday
A,Gertvagt,Chance for Vaskepolot + 10 stacks brød + 50 blaze,Aflever 3 sæts diagear,Wednesday
A,Donvito,Lille Chance for Head,Overtag A Bandeområde,Wednesday
A,Gertvagt,Chance for Vaskepolot + 1 Dia polet + 40k,Aflever 5 stacks kaktus,Thursday
A,Donvito,50k + Lille Chance for rare Stair,Aflever 50 Respekt,Thursday
A,Gertvagt,Chance for Vaskepolot + 2 Guld polet + 30k,Aflever 5 stacks sugar,Friday
A,Donvito,Fin Chance for Rare Head,Røv Vven,Friday
A,Gertvagt,Chance for Vaskepolot + Leg key,Aflever 5 stacks neather wart,Saturday
A,Donvito,50k + Ok chance for head,Aflever 50 Respekt,Saturday
A,Gertvagt,Chance for Vaskepolot + Glow key + Em key,Aflever 10 bones, 10 pufferfish, 2 stacks raw fish,Sunday
A,Donvito,Lille Chance for Head,Overtag Bandeområde i A+,Sunday
B,Mr. X,Diamand Polet & chance for 1-3 dbs,Aflever 4 stacks sugar,Monday
B,Finn Fisker,25k + Ok chance for 1 rare head,Røv Vagt-Vaulten (B),Monday
B,PalleVagt,1 Diamond Polet,Aflever 4 stacks seeds,Monday
B,Mr. X,Diamant Polet, 25% chance for PC & chance for 1-2 dbs,Aflever 6 stacks wheat,Tuesday
B,Finn Fisker,1 Fishing rod med 10% chance for unbreaking,Aflever 4 stacks Iron Ingots + 32 logs + 5 blazerods,Tuesday
B,PalleVagt,3 Diamond Polet + 10 Brød + 25% Chance for Computer,Aflever 5 stacks iron ingots,Tuesday
B,Mr. X,Fiskestang & chance for 1-3 dbs,Aflever 4 stacks wheat,Wednesday
B,Finn Fisker,5 Blaze Rod + Lille chance for String,Aflever 15 Raw fish + 15 clown fish,Wednesday
B,PalleVagt,10 Blazerods + 1 Legend Key + 2 Diamond Poletter,Aflever 4 stacks wheat,Wednesday
B,Mr. X,25k & Lille chance for head,Bræk 3 kister op i B+,Thursday
B,Finn Fisker,1 Fishing rod med 10% chance for unbreaking,Aflever 4 stacks Iron Ingots + 64 logs + 7 blazerods,Thursday
B,PalleVagt,2 Legend Keys + 5 Blazerods,Aflever 4 stacks Oak log + 4 stacks Leaves,Thursday
B,Mr. X,2 Guld Polet, 25% chance for PC & chance for 1-3 dbs,Aflever 32 kaktus & 4 stacks jern,Friday
B,Finn Fisker,25k + Lille chance for head,Bræk 3 kister op i B,Friday
B,PalleVagt,5k + 2 Guld Poletter + 25% Chance for Computer,Aflever 16 Kaktus + 2 stacks sugar,Friday
B,Mr. X,25k & lille chance for head,Røv B+ BO,Saturday
B,Finn Fisker,1 Fishing rod med 10% chance for unbreaking,Aflever 4 stacks Iron Ingots + 48 logs + 6 blazerods,Saturday
B,PalleVagt,1 Sæt Titan Tools + 1 Diamond,Aflever 2 stacks Iron Ore + 4 stacks Lapis,Saturday
B,Mr. X,25k & lille chance for head,Røv BO,Sunday
B,Finn Fisker,5 Blaze Rod + Lille chance for String,Aflever 15 Raw fish + 15 clown fish,Sunday
B,PalleVagt,50k,Aflever 1 Sæt Diamond Gear,Sunday
